status,orbital_period,planet_radius,stellar_radius,insolation_flux,equilibrium_temperature,stellar_effective_temperature,stellar_surface_gravity
CANDIDATE,28.707623,21.2,1.03,,,5838.0,
CANDIDATE,15.465691,4.13,0.76,,,4989.0,
CANDIDATE,15.4715,9.2,1.89,,,5791.0,4.0
CANDIDATE,15.466674,16.121,1.23,,,5807.0,4.25
CANDIDATE,1.4556637,,1.84,,,6520.0,4.03
CANDIDATE,1.45556515,71.0,2.04,,,,
CANDIDATE,3.3262396,1.16,0.33,,,3404.0,
CANDIDATE,3.32592848,,60.69,,,4017.0,
CANDIDATE,3.3255,1080.0,85.0,,,,
CANDIDATE,13.1426,200.0,13.9,,,,
CANDIDATE,4.47471,22.0,2.49,,,,
CANDIDATE,4.474513,8.169,2.22,,,6081.0,3.88
CANDIDATE,4.4743465,3.06,0.81,,,5248.0,
CANDIDATE,2.1989041,46.6,0.75,,,4938.0,
CANDIDATE,4.1657292,1.86,0.36,,,3442.0,
FALSE POSITIVE,0.6308,,,,,,
CANDIDATE,0.2358684,6.1,1.79,,,,
CANDIDATE,12.99109,43.0,4.5,,,,
CANDIDATE,1.7359447,1.89,0.84,,,5354.0,
CANDIDATE,1.83916,0.62,0.48,,,,
CANDIDATE,1.8389349,0.837,0.58,,,3930.0,
CANDIDATE,2.032664,1.92,0.54,,,,
CANDIDATE,6.11706,1.76,0.54,,,,
CANDIDATE,1.859017,64.0,2.03,,,6842.0,4.01
CANDIDATE,1.85872487,,2.02,,,6015.0,3.87
CANDIDATE,1.8590179,30.5,1.33,,,6244.0,
CANDIDATE,540.0,5.7,0.94,,,5200.0,
CANDIDATE,,12.81,1.95,,,,
FALSE POSITIVE,1.4408,,1.59,,,4154.0,
FALSE POSITIVE,0.841202,82.0,2.31,,,6237.0,3.85
CANDIDATE,0.8411257,0.884,0.66,,,4289.0,
CANDIDATE,0.17566,3.11,1.15,,,6620.0,4.19
CANDIDATE,29.33873041,,0.53,,,3171.0,4.71
FALSE POSITIVE,22.7984,9.0,1.37,,,6195.0,4.18
CANDIDATE,1.68027,2.9,1.27,,,,
CANDIDATE,2.54427583,,3.24,,,8188.0,3.72
CANDIDATE,0.7099504,80.0,2.06,,,,
FALSE POSITIVE,1.8204,,0.51,,,3112.0,4.73
FALSE POSITIVE,2.809,,0.47,,,2901.0,4.76
FALSE POSITIVE,1.404411,99.0,2.02,,,6933.0,4.02
FALSE POSITIVE,1.4044283,3.66,0.12,,,2721.0,
CANDIDATE,3.400858,14.1,0.98,,,,
CANDIDATE,3.4007758,5.57,0.89,,,5520.0,
CANDIDATE,,7.51,1.25,,,,
CANDIDATE,,,,,,3095.0,
FALSE POSITIVE,8.2766395,0.724,0.11,,,2586.0,
FALSE POSITIVE,8.2781,,,,,6520.0,
FALSE POSITIVE,8.2758,10.2,1.6,,,5926.0,4.16
FALSE POSITIVE,0.6199,,0.6,,,2978.0,4.65
CANDIDATE,28.46762,37.0,1.97,,,,
CANDIDATE,28.465633,18.4,0.96,,,5700.0,
FALSE POSITIVE,4.5417,,0.64,,,2897.0,4.62
CANDIDATE,83830.0,12.0,0.74,,,4000.0,
CANDIDATE,8.79689,4.85,2.05,,,,
CANDIDATE,1.153886,99.0,1.8,,,6841.0,4.09
CANDIDATE,1.6398934,33.0,0.79,,,5175.0,
FALSE POSITIVE,1.486243,58.0,1.87,,,5991.0,3.98
CANDIDATE,23.21037,15.3,1.21,,,,
CANDIDATE,23.210585,5.7,0.81,,,5244.0,
CANDIDATE,1.330023,44.0,2.4,,,,
CANDIDATE,50.73641,10.31,1.35,,,,
FALSE POSITIVE,1.124,,0.51,,,3074.0,4.73
FALSE POSITIVE,0.7474,,,,,,
CANDIDATE,46.1373,2.6,0.72,,,,
CANDIDATE,1.957,,45.37,,,3913.0,
CANDIDATE,22.6398,1.27,0.86,,,,
CANDIDATE,24.193613,30.7,0.87,,,5457.0,
CANDIDATE,2.784496,2.09,0.26,,,,
CANDIDATE,0.64292573,,0.36,,,2914.0,4.86
FALSE POSITIVE,1.4562,,,,,,
FALSE POSITIVE,2.8742,,1.42,,,3648.0,
CANDIDATE,10.2236,132.0,2.04,,,6960.0,4.05
FALSE POSITIVE,1.6281,,2.74,,,5691.0,3.57
CANDIDATE,2.7518,0.669,0.65,,,,
